date,value
2005-01-01,1035.0955277669552
2005-02-01,941.190198353352
2005-03-01,958.6612783290506
2005-04-01,980.1689245269789
2005-05-01,978.7999417520153
2005-06-01,1023.7335003281481
2005-07-01,1162.9467390399088
2005-08-01,1052.956822376723
2005-09-01,1042.754025386879
2005-10-01,963.2422319302838
2005-11-01,994.9545439039508
2005-12-01,1010.9990583063028
2006-01-01,1050.855548433279
2006-02-01,1036.2382332839816
2006-03-01,1055.137478991378
2006-04-01,990.9910046969574
2006-05-01,1065.6411604051282
2006-06-01,1102.248174466507
2006-07-01,1155.153974914629
2006-08-01,1056.5680449175638
2006-09-01,1035.311940393209
2006-10-01,1025.5279123724456
2006-11-01,1043.4647255954153
2006-12-01,1026.7691242299325
2007-01-01,1127.9814156914133
2007-02-01,988.3538834481624
2007-03-01,1094.7457846178659
2007-04-01,1075.3433564105915
2007-05-01,1113.9991924425976
2007-06-01,1158.3790792221685
2007-07-01,1217.7209855881229
2007-08-01,1177.6015074009524
2007-09-01,1106.4660077740398
2007-10-01,1028.4652765668689
2007-11-01,1109.72069162645
2007-12-01,1062.5795459293274
2008-01-01,1182.5568592809052
2008-02-01,1035.1712349896106
2008-03-01,1094.9002925662203
2008-04-01,1138.8804225023857
2008-05-01,1144.0408058031776
2008-06-01,1196.9820095405428
2008-07-01,1243.0551426946208
2008-08-01,1215.484075674109
2008-09-01,1191.8297576366213
2008-10-01,1114.0813135664766
2008-11-01,1148.7029021372462
2008-12-01,1088.689442438089
2009-01-01,1208.0452985286856
2009-02-01,1112.7821361276006
2009-03-01,1188.668866726353
2009-04-01,1135.4544476353103
2009-05-01,1240.2263916385643
2009-06-01,1191.1500198625001
2009-07-01,1288.7344304750063
2009-08-01,1250.4831840886488
2009-09-01,1262.1079334674284
2009-10-01,1187.7627564031463
2009-11-01,1232.1978178071874
2009-12-01,1100.6590335078422
2010-01-01,1285.2146726694996
2010-02-01,1201.2260409263827
2010-03-01,1233.036279204263
2010-04-01,1238.3572935023526
2010-05-01,1225.679276388751
2010-06-01,1328.9075395870987
2010-07-01,1443.1053740065797
2010-08-01,1305.6315930065894
2010-09-01,1243.1600046910507
2010-10-01,1283.6298872056432
2010-11-01,1303.9970196430422
2010-12-01,1181.1770390224824
2011-01-01,1309.284968415927
2011-02-01,1206.5137346381562
2011-03-01,1227.6053671885486
2011-04-01,1213.6056711236315
2011-05-01,1255.7951560562828
2011-06-01,1295.4570128601579
2011-07-01,1402.5390725432687
2011-08-01,1382.4458995447842
2011-09-01,1371.353275373507
2011-10-01,1240.8871653326082
2011-11-01,1333.0350192464246
2011-12-01,1239.9882576721968
2012-01-01,1374.956654154258
2012-02-01,1289.1810573090515
2012-03-01,1283.6572819966993
2012-04-01,1310.8680909316358
2012-05-01,1351.3143491748983
2012-06-01,1397.3431617161768
2012-07-01,1470.6482364845278
2012-08-01,1530.6082763837092
2012-09-01,1334.7649028829244
2012-10-01,1307.2387093492678
2012-11-01,1319.463757445078
2012-12-01,1274.4030496070493
2013-01-01,1400.694335466189
2013-02-01,1357.1426178709003
2013-03-01,1436.306599560925
2013-04-01,1320.9875094360211
2013-05-01,1359.5809016659039
2013-06-01,1448.1954424355938
2013-07-01,1486.9511627114152
2013-08-01,1506.471791981092
2013-09-01,1419.7909490107606
2013-10-01,1314.9573272153946
2013-11-01,1459.1352375820393
2013-12-01,1416.4097877792115
2014-01-01,1451.810565803208
2014-02-01,1341.4143432856463
2014-03-01,1439.036182184589
2014-04-01,1405.9669155498582
2014-05-01,1472.732089157823
2014-06-01,1568.192775385063
2014-07-01,1557.6870192523295
2014-08-01,1494.5294177748815
2014-09-01,1401.119610490019
2014-10-01,1395.5132705703263
2014-11-01,1442.76474077327
2014-12-01,1466.9407363805028
2015-01-01,1506.2416413742399
2015-02-01,1413.4259485230302
2015-03-01,1475.2727941618987
2015-04-01,1491.3385894129574
2015-05-01,1607.2571113276558
